ground_data_tree_id,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin
21597,ca411285-7d60-41cf-abaa-78dba676ea24,21597,cagl,697.0,790616.161054541,0.8313393592834473,36.3422002,87.14999999926658,747659.5,4308785.0,747658.3,4308779.8,747666.6,4308790.3,A,I,5,5
14441,4d3188ec-2f09-4501-8ef3-c3bd7449fa96,14441,litu,568.0,489426.403120485,0.8210858106613159,37.5225003,66.40000000596046,747599.2,4308709.1,747597.3,4308704.1,747605.3,4308712.4,A,F,5,5
12896,2c984fc9-9607-4553-aa39-5106f7b39c57,12896,caco,243.0,71203.8406052706,0.803545355796814,26.3992002,35.90999999937834,747577.6,4308816.4,747574.7,4308813.3,747580.4,4308819.6,A,main,5,5
16836,bc440c02-b31a-4acf-9a16-159cad0a5200,16836,fram,164.0,28014.9317780434,0.7878433465957642,31.5473004,132.25,747596.3,4308988.4,747585.5,4308985.2,747597.0,4308996.7,A,main,5,5
2751,d0cbb135-0b96-451a-b8c6-13b636ab0b26,2751,fram,655.0,665292.557801535,0.7840065956115723,27.1940002,79.04999999940628,747406.1,4308633.1,747404.9,4308629.2,747414.2,4308637.7,D,DS,5,5
3338,f1870e91-d2d4-4d7a-9d02-0260b5e0b5a9,3338,caco,553.0,465964.445250142,0.7726415991783142,25.7830008,41.57999999935739,747405.3,4308991.0,747401.7,4308984.7,747408.3,4308991.0,A,main,5,5
9595,cf7b7d86-9a02-4ea9-9eec-f86d689384b7,9595,litu,591.0,537261.749872993,0.7661313414573669,39.0809002,78.39999999850988,747539.7,4308686.4,747535.3,4308679.5,747543.3,4308689.3,A,F,5,5
16832,ae416d59-0722-42c6-bd3b-5d3166af2519,16832,qual,546.0,365397.801110572,0.7657869458198547,31.1619995,34.219999996346885,747601.2,4308981.3,747596.8,4308979.4,747602.6,4308985.3,A,main,5,5
22205,31d23481-3621-4274-a4a2-e4978a8cae26,22205,qual,703.0,634755.778546158,0.7606503963470459,30.6110004,94.76000000234691,747667.2,4308972.4,747663.5,4308972.2,747673.8,4308981.4,A,main,5,5
25446,5d942ed1-0bf7-4391-b281-f3683f11d058,25446,caco,200.0,45633.7573840466,0.7559346556663513,31.4343,90.15999999783,747699.8,4308941.0,747691.4,4308934.5,747700.6,4308944.3,A,main,5,5
5688,d1af2f76-4458-4bf4-a977-fc773319b33c,5688,litu,457.0,293660.561991502,0.7557907104492188,33.5010998,81.69999999977881,747441.6,4308945.2,747435.9,4308940.4,747444.5,4308949.9,A,main,5,5
8488,faf1349d-a80d-4662-bd73-125185a178c0,8488,litu,614.0,587676.148840043,0.7510436773300171,37.0955001,87.87000000556698,747506.3,4308764.3,747504.2,4308755.1,747512.9,4308765.2,A,main,5,5
9760,fc3e502f-1377-4025-bc5a-6d0e627bf22f,9760,cato,132.0,17661.5422544227,0.7488794922828674,25.7819997,25.85000000102445,747519.8,4308784.9,747518.6,4308782.3,747524.1,4308787.0,A,main,4,4
3207,3896269c-c3e2-4275-8616-9588da260279,3207,caca,110.0,21384.054938626992,0.7487600445747375,35.4521008,90.20999999776016,747398.7,4308928.8,747390.4,4308928.2,747400.1,4308937.5,A,L;M,5,5
7858,86891ff3-6a2b-40dd-89f5-4092af385f16,7858,quru,844.0,948531.985131173,0.7485433220863342,36.3333017,83.29999999841675,747477.7,4308981.0,747469.2,4308981.0,747477.7,4308990.8,A,main,5,5
21762,067cf11b-d6b9-4207-8a85-d7a52b194f56,21762,nysy,251.0,99819.08789732776,0.7422897219657898,28.3108004,42.88000000134809,747659.9,4308828.4,747659.4,4308825.8,747665.8,4308832.5,A,M,5,5
10282,b28741ef-66d1-4bbc-8623-f876c6ea2d2c,10282,cofl,60.0,2604.85666303025,0.7371168732643127,27.2136,29.699999999487773,747555.0,4308513.6,747551.8,4308512.4,747557.2,4308517.9,A,main,4,4
23030,aea073ff-7bf7-4971-9ca1-0bbca81030f1,23030,litu,878.0,1361548.75786943,0.7311947345733643,38.2130999,146.1599999953853,747694.6,4308567.3,747690.6,4308557.2,747702.2,4308569.8,A,main,5,5
14436,964c7f42-f24a-4b20-85a1-d4cac9a5bb8f,14436,caco,395.0,216032.278486959,0.7304676175117493,34.3645002,30.780000001138543,747594.6,4308698.1,747592.4,4308698.0,747597.8,4308703.7,A,F,5,5
20076,2db99282-4694-4e8d-8753-5643c2430eda,20076,cagl,483.0,342036.593681818,0.7295865416526794,31.4643992,88.36000000372063,747640.9,4308837.5,747637.4,4308831.8,747646.8,4308841.2,A,main,5,5
12489,8c0ab93e-c86d-4601-9a27-f6b9f93a77ad,12489,litu,641.0,650195.809120945,0.7281492948532104,38.9086996,94.08000000692438,747576.8,4308627.1,747571.3,4308621.6,747580.9,4308631.4,A,F,5,5
11533,59c9c566-abaa-436d-9295-4df5bc667353,11533,litu,386.0,197505.86193648,0.727715015411377,34.950601,63.35999999927357,747540.7,4308990.4,747536.6,4308985.7,747543.8,4308994.5,A,main,5,5
23836,5607bdfe-9b79-402a-9caf-c6359ac90eb7,23836,quru,225.0,52806.1657644758,0.7250415086746216,28.8389996,73.08000000176719,747682.6,4308984.9,747675.4,4308976.6,747683.8,4308985.3,A,main,5,5
9687,8b0da983-43c8-441c-a9f4-b5d573c5061e,9687,litu,685.0,759937.930522826,0.724245548248291,37.6502015,103.02000000164378,747525.3,4308706.5,747522.3,4308699.6,747532.4,4308709.8,A,F,5,5
16509,f0eb9a37-1555-43dd-ac7b-21728361d109,16509,caco,382.0,200131.694567159,0.7221022844314575,34.8380988,32.93999999646563,747617.9,4308798.4,747614.9,4308793.7,747621.0,4308799.1,A,main,5,5
8627,0033967e-0d5b-48fd-ba95-3c8e9247c804,8627,litu,580.0,514064.364880888,0.7218008637428284,34.8130013,111.36000000737609,747504.1,4308828.1,747499.7,4308818.6,747511.3,4308828.2,A,main,5,5
8436,78104090-3639-4418-8edd-430eee9ebe4b,8436,litu,723.0,862704.305011306,0.7212622165679932,37.6940002,119.7799999977625,747512.4,4308703.2,747505.1,4308695.8,747515.7,4308707.1,A,F,5,5
7494,f85fad5f-9736-4b4d-a0f9-1e1feb9f7031,7494,qual,330.0,121600.25614609,0.7209849953651428,31.0054,56.4399999991199,747498.4,4308714.2,747497.5,4308707.8,747504.3,4308716.1,A,F,5,5
19552,96104406-17bf-4061-a7f4-3f5320441ee9,19552,quve,648.0,531749.943591638,0.718916118144989,36.4732012,88.35000000044238,747653.6,4308663.8,747650.2,4308661.0,747659.5,4308670.5,A,F,5,5
9638,fbbe1a9d-475f-4cec-bc02-fb52bd72193d,9638,cato,189.0,40101.38905214,0.7178646326065063,30.6399994,70.5199999965448,747524.3,4308794.3,747518.8,4308788.2,747527.0,4308796.8,A,main,5,5
